id,reply_text,true_category,has_hidden_condition,expected_manual_review,condition_type,difficulty,tone,length_bucket,label_rationale,expected_requests,expected_conditions,generation_model,split,human_review_status,human_review_notes
H011,"Hi team! Loved the moodboard, the soft peach tones are so pretty and totally my aesthetic. I've already got a couple of ideas for a get-ready-with-me video and maybe a little before-and-after carousel. Can't wait to play with the blush sticks! P.S. just so we're aligned, you'd be welcome to repost on your own feed but any paid ad usage would need a separate licence fee.",Negotiation,True,True,usage_rights;payment,hard,enthusiastic,long,Long enthusiastic reply with a usage-rights and licensing fee condition placed in a postscript.,none,Organic reposting allowed; paid ad usage requires a separate licence fee,Claude,heldout,Approved,
H012,"Dear team, I am pleased to accept your invitation to participate in the autumn campaign. I look forward to receiving the brief and working with you. Sincerely, Laura Méndez",Interested,False,False,none,easy,formal,short,Formal unconditional acceptance; expecting a brief is not a request or condition.,none,none,Claude,heldout,Approved,
H013,"Hmm, I might be interested but I'm not sure yet. Who is the campaign aimed at? My audience is mostly men in their 30s getting into skincare, so I want to know if it'd actually make sense for them before I commit.",Needs Information,False,False,none,medium,hesitant,medium,Tentative interest pending information about target audience fit; no terms set.,Campaign target audience,none,Claude,heldout,Approved,
H014,"Not interested, thanks.",Declined,False,False,none,easy,abrupt,short,Blunt explicit refusal.,none,none,Claude,heldout,Approved,
H015,"Hiya, thanks for the invite! I'd love to be part of it. I don't do TikTok anymore so it would have to be Instagram only, but otherwise happy to go ahead with whatever you had planned. Speak soon x",Negotiation,True,True,deliverables,medium,casual,medium,Friendly acceptance with a platform restriction on deliverables embedded mid-reply and softened by 'otherwise happy'.,none,Instagram only; no TikTok content,Claude,heldout,Approved,
H016,Hi! Random question but do you sell gift cards? My sister's birthday is next week and she loves your stuff.,Unclear,False,True,none,easy,casual,short,Asks an irrelevant retail question and does not address the campaign.,Gift card availability (irrelevant to campaign),none,Claude,heldout,Approved,
H017,"Honestly this made my day 🥹 I've been a fan of your brand since the tinted balm launched and I would absolutely love to be involved. Whatever you need from me, I'm ready. Just send the details over whenever suits. Thank you again for thinking of little old me! 💕 Jess",Interested,False,False,none,easy,enthusiastic,long,Long enthusiastic acceptance; asking for details whenever convenient is not a precondition.,none,none,Claude,heldout,Approved,
H018,What's the budget on this one?,Needs Information,False,False,none,medium,abrupt,short,Asks about compensation without proposing a rate or making it a condition.,Campaign budget or payment,none,Claude,heldout,Approved,
H019,"It sounds like a really thoughtful campaign and I'm flattered you reached out. I've been reflecting on how much sponsored content I post, and I've decided to take a step back from partnerships for a while to focus on my own projects. I hope you find the perfect creators for it.",Declined,False,False,none,hard,warm,medium,Indirect but clear refusal wrapped in positive language; no acceptance or counter-offer.,none,none,Claude,heldout,Approved,
H020,"Hello! Thanks for the lovely message and the samples you sent last spring, they were a hit with my followers. I'm keen to join. As I'm based in Manchester, I'd only be able to attend the shoot if it's held there or if travel and accommodation are covered, but I'm flexible on dates. Let me know next steps! Warm wishes, Hannah",Negotiation,True,True,location;payment,medium,warm,medium,Stated willingness is conditioned on shoot location or covered travel costs; condition sits mid-reply between positive statements.,none,Shoot in Manchester or travel and accommodation covered,Claude,heldout,Approved,
H021,Thanks for the email. Forwarding this to my agency.,Unclear,False,True,none,medium,abrupt,short,Acknowledges receipt but gives no indication of participation intent.,none,none,Claude,heldout,Approved,
H022,"Hi there, this could be a great fit! Can you tell me the posting dates? I'm moving house in mid-October and need to plan around that. Also, would I need to submit drafts for approval before going live?",Needs Information,False,False,none,hard,casual,medium,"Asks about schedule and approval process; the moving-house detail is context for planning, not a stated condition.",Posting dates; draft approval requirements,none,Claude,heldout,Approved,
H023,"Sure, happy to help out. Ship the products whenever works and I'll get content up.",Interested,False,False,none,easy,casual,short,Plain acceptance with flexible logistics and no conditions.,none,none,Claude,heldout,Approved,
H024,"Hi Sophie, Thanks so much for including me. Sadly I'm taking a sabbatical from October through March and won't be creating any content during that time, so I won't be able to participate. Hopefully we can connect on something in the future! Mia",Declined,False,False,none,medium,warm,medium,Clear unavailability for the campaign period; hope for future contact is not acceptance.,none,none,Claude,heldout,Approved,
H025,love the packaging!! 😍😍,Unclear,False,True,none,medium,enthusiastic,short,Positive comment on packaging only; does not address participation.,none,none,Claude,heldout,Approved,
H026,"Dear Campaign Team, Thank you for your invitation and for the detailed overview of the Glow Ritual launch. The creative direction aligns closely with the kind of content my community enjoys, and I would be delighted to collaborate. I have reviewed the proposed timeline and it works well with my schedule. I will need our standard creator agreement to govern the partnership rather than your template, particularly regarding approval rounds and payment within 14 days of posting. Best regards, Olivia Chen",Negotiation,True,True,contractual;payment,hard,formal,long,"Formal acceptance followed in the final sentence by a demand to use the creator's own contract, approval limits, and payment terms.",none,Creator's own agreement replaces brand template; defined approval rounds; payment within 14 days of posting,Claude,heldout,Approved,
H027,hey do u guys need video or just photos? and is it gifted or paid? can't really tell from the email,Needs Information,False,False,none,easy,casual,short,Asks about deliverable format and compensation model without setting terms.,Video or photo deliverables; gifted or paid,none,Claude,heldout,Approved,
H028,"I wasn't sure at first because I don't usually do makeup content, but after looking at the lineup I think it could be fun. Okay, I'm in. Let's do it.",Interested,False,False,none,medium,hesitant,short,Initial hesitation resolves into clear unconditional acceptance.,none,none,Claude,heldout,Approved,
H029,Regrettably I must decline. My schedule is fully committed for the remainder of the year.,Declined,False,False,none,easy,formal,short,Explicit formal refusal due to schedule.,none,none,Claude,heldout,Approved,
H030,"Heyyy thank you!! Your brand has such a cute vibe and I'm so down to collab 💖 I've had a look at the product list and I'm super excited about the palette. Only thing is I'd want to swap the foundation out for something else because the shade range doesn't go dark enough for me to show it properly, so I'd only feature the palette and the lip gloss. Anyway let me know!!",Negotiation,True,True,product;deliverables,medium,enthusiastic,long,Excited acceptance followed by a condition limiting which products will be featured.,none,Foundation removed; feature only the palette and lip gloss,Claude,heldout,Approved,
H031,Would be great to be part of this 🙂 Honestly my calendar is a mess though and I don't think I can commit. Keep me posted?,Unclear,False,True,none,hard,hesitant,short,Expresses interest and inability to commit in the same breath; intent conflicts.,none,none,Claude,heldout,Approved,
H032,"Thanks for reaching out. I'd consider it, but I need a bit more information first: are there any mandatory hashtags or scripted talking points, and will I be required to disclose anything beyond the standard #ad? I'm careful about keeping my content authentic.",Needs Information,False,False,none,medium,formal,medium,Asks about content requirements and disclosure rules before deciding; no conditions proposed.,Mandatory hashtags; scripted talking points; disclosure requirements,none,Claude,heldout,Approved,
H033,"Hi Ben! Great to hear from you again. We had such a good time on the summer shoot so of course I'm up for this one too. Say hi to the rest of the team for me. Cheers, Tom",Interested,False,False,none,easy,casual,short,Acceptance referencing a past collaboration; no conditions or questions.,none,none,Claude,heldout,Approved,
H034,"Oh I adore your products, genuinely one of my favourite brands! 💛 Which is why this is so annoying. I've signed an exclusive deal with a competitor that covers all of next year, so I can't work with you at all. Really sorry!",Declined,False,False,none,hard,enthusiastic,short,"Positive framing but an unequivocal refusal; exclusivity is the reason for declining, not a proposed term.",none,none,Claude,heldout,Approved,
H035,Who is this? How did you get my email?,Unclear,False,True,none,easy,abrupt,short,Questions the sender's identity rather than addressing participation.,Sender identity; source of email address (irrelevant to campaign),none,Claude,heldout,Approved,
H036,"Before anything else: I'd need all posts to go live after 20 November, as my feed is booked until then. If that works, I'm absolutely in and would love to do it!",Negotiation,False,True,timing,easy,enthusiastic,short,Timing condition is stated up front and acceptance depends on it; not hidden.,none,All posts go live after 20 November,Claude,heldout,Approved,
H037,"Hello, thank you for thinking of me. Could you let me know whether the campaign requires in-person attendance at any events, and roughly how long the partnership would run? I'm keen but want to make sure I can give it proper attention. Best, Aaliyah",Needs Information,False,False,none,medium,formal,medium,Interested but asks about event requirements and duration before deciding.,In-person event requirements; partnership duration,none,Claude,heldout,Approved,
H038,Yes please! Sounds amazing ✨,Interested,False,False,none,easy,enthusiastic,short,Short unconditional acceptance.,none,none,Claude,heldout,Approved,
H039,"hi, thx for reaching out. gonna pass on this, I only work with vegan brands and yours isn't one yet. no hard feelings!",Declined,False,False,none,medium,casual,short,Clear refusal based on a values policy; no counter-offer.,none,none,Claude,heldout,Approved,
H040,"Haha I think you might have the wrong person, but also maybe not? I did do some beauty stuff back in 2023. Let me dig out my media kit, or actually don't worry, I'll see.",Unclear,False,True,none,hard,casual,short,Unsure whether the invitation applies to them and gives no clear participation intent.,none,none,Claude,heldout,Approved,
